time,truePosition_x,truePosition_y,truePosition_z,trueVelocity_x,trueVelocity_y,trueVelocity_z,estimatedPosition_x,estimatedPosition_y,estimatedPosition_z,estimatedVelocity_x,estimatedVelocity_y,estimatedVelocity_z
0,-0.00729046,-0.432033,0.448111,-1.59155,0.795775,0.795775,-0.00729046,-0.432033,0.448111,0,0,0
0.0333333,-0.0585341,-0.413689,0.463752,-1.58283,0.935489,0.647341,-0.0341452,-0.42242,0.456308,-0.00081296,0.00029102,0.000248139
0.0666667,-0.111562,-0.366624,0.49174,-1.55677,1.06495,0.491816,-0.0642964,-0.400695,0.470105,-0.0188926,0.0133238,0.00852386
0.1,-0.147196,-0.334469,0.505158,-1.51365,1.18275,0.330902,-0.0933566,-0.377518,0.482404,-0.0689966,0.0533867,0.0296986
0.133333,-0.213858,-0.291813,0.499771,-1.45395,1.28759,0.166362,-0.136088,-0.347031,0.488996,-0.19502,0.142866,0.0471593
0.166667,-0.263207,-0.261054,0.509401,-1.37832,1.37832,2.92363e-16,-0.185691,-0.313247,0.497298,-0.377443,0.265696,0.0756425
0.2,-0.290207,-0.205982,0.509789,-1.28759,1.45395,-0.166362,-0.233042,-0.267173,0.50359,-0.549753,0.450142,0.0943288
0.233333,-0.34176,-0.162311,0.499163,-1.18275,1.51365,-0.330902,-0.287242,-0.216505,0.503729,-0.741718,0.640969,0.0782488
0.266667,-0.378507,-0.100516,0.481306,-1.06495,1.55677,-0.491816,-0.339277,-0.156303,0.496064,-0.892937,0.856008,0.0213628
0.3,-0.411411,-0.0594774,0.458846,-0.935489,1.58283,-0.647341,-0.386792,-0.0991588,0.480885,-0.992518,1.01651,-0.0677837
0.333333,-0.432788,-0.00366899,0.446182,-0.795775,1.59155,-0.795775,-0.425347,-0.0391715,0.464879,-1.02332,1.16346,-0.14517
0.366667,-0.469825,0.0628361,0.416291,-0.647341,1.58283,-0.935489,-0.463875,0.0265517,0.441398,-1.04818,1.31507,-0.250073
0.4,-0.489307,0.110604,0.376293,-0.491816,1.55677,-1.06495,-0.494753,0.0875667,0.408812,-1.02536,1.4116,-0.386334
0.433333,-0.492263,0.149068,0.33319,-0.330902,1.51365,-1.18275,-0.513254,0.140797,0.369108,-0.937389,1.44626,-0.536858
0.466667,-0.512806,0.196784,0.29595,-0.166362,1.45395,-1.28759,-0.530947,0.192332,0.327581,-0.86142,1.4649,-0.669318
0.5,-0.507446,0.253054,0.259182,-4.50849e-16,1.37832,-1.37832,-0.537335,0.246247,0.285564,-0.736357,1.49339,-0.779706
0.533333,-0.495413,0.303926,0.210171,0.166362,1.28759,-1.45395,-0.533463,0.299404,0.238452,-0.577238,1.5123,-0.897975
0.566667,-0.505479,0.3432,0.159429,0.330902,1.18275,-1.51365,-0.532516,0.346986,0.187534,-0.464215,1.49647,-1.01546
0.6,-0.48269,0.38196,0.106804,0.491816,1.06495,-1.55677,-0.520078,0.390496,0.133646,-0.307956,1.46079,-1.12765
0.633333,-0.455272,0.416016,0.0433102,0.647341,0.935489,-1.58283,-0.498255,0.429284,0.0735119,-0.128328,1.40535,-1.25386
0.666667,-0.432309,0.44515,0.00880148,0.795775,0.795775,-1.59155,-0.472518,0.462888,0.0219222,0.0397017,1.33122,-1.30869
0.7,-0.411599,0.461271,-0.0513356,0.935489,0.647341,-1.58283,-0.445722,0.487605,-0.0343673,0.182298,1.22117,-1.3796
0.733333,-0.38332,0.487045,-0.110726,1.06495,0.491816,-1.55677,-0.415571,0.510673,-0.0933356,0.317072,1.12244,-1.45227
0.766667,-0.332791,0.505306,-0.159901,1.18275,0.330902,-1.51365,-0.374138,0.529802,-0.149505,0.489861,1.02007,-1.49572
0.8,-0.301779,0.494101,-0.21171,1.28759,0.166362,-1.45395,-0.333861,0.534012,-0.20464,0.623931,0.853281,-1.52527
0.833333,-0.245156,0.513575,-0.244203,1.37832,2.92363e-16,-1.37832,-0.284038,0.541562,-0.250661,0.786423,0.73632,-1.49827
0.866667,-0.200477,0.51358,-0.306424,1.45395,-0.166362,-1.28759,-0.233313,0.543655,-0.303091,0.923645,0.610632,-1.5122
0.9,-0.150678,0.497425,-0.33433,1.51365,-0.330902,-1.18275,-0.180364,0.53555,-0.345305,1.04771,0.451305,-1.46633
0.933333,-0.101425,0.485407,-0.378635,1.55677,-0.491816,-1.06495,-0.126627,0.522732,-0.387537,1.15303,0.295323,-1.42913
0.966667,-0.0517236,0.456969,-0.409305,1.58283,-0.647341,-0.935489,-0.0726051,0.50026,-0.424118,1.2403,0.114406,-1.36723
1,-0.00191583,0.435789,-0.436877,1.59155,-0.795775,-0.795775,-0.0187187,0.474887,-0.455666,1.31052,-0.0489886,-1.28871
1.03333,0.0500816,0.419152,-0.469719,1.58283,-0.935489,-0.647341,0.0357005,0.45013,-0.486269,1.37062,-0.178447,-1.21954
1.06667,0.103227,0.374227,-0.477272,1.55677,-1.06495,-0.491816,0.0907225,0.414282,-0.505699,1.42288,-0.345837,-1.10074
1.1,0.154321,0.347535,-0.496813,1.51365,-1.18275,-0.330902,0.145063,0.379152,-0.52291,1.46157,-0.477967,-0.99168
1.13333,0.213309,0.300183,-0.51144,1.45395,-1.28759,-0.166362,0.202128,0.336276,-0.536934,1.50829,-0.628806,-0.885135
1.16667,0.252742,0.250107,-0.506009,1.37832,-1.37832,-4.87271e-16,0.252549,0.287445,-0.54061,1.5091,-0.784841,-0.740535
1.2,0.302098,0.215823,-0.499421,1.28759,-1.45395,0.166362,0.30253,0.241852,-0.537139,1.50729,-0.893622,-0.582909
1.23333,0.347237,0.15666,-0.49437,1.18275,-1.51365,0.330902,0.350407,0.188384,-0.529984,1.49405,-1.0262,-0.434076
1.26667,0.376545,0.104579,-0.480879,1.06495,-1.55677,0.491816,0.390094,0.132978,-0.51728,1.43743,-1.14488,-0.281953
1.3,0.408804,0.0600438,-0.460723,0.935489,-1.58283,0.647341,0.425526,0.079953,-0.498488,1.36755,-1.22808,-0.12413
1.33333,0.438704,0.00959851,-0.448047,0.795775,-1.59155,0.795775,0.45726,0.0264428,-0.479297,1.29,-1.29848,0.00646712
1.36667,0.472348,-0.055691,-0.406262,0.647341,-1.58283,0.935489,0.488329,-0.0334456,-0.447957,1.22321,-1.39144,0.180714
1.4,0.478736,-0.0982118,-0.38558,0.491816,-1.55677,1.06495,0.507575,-0.0876851,-0.417847,1.10269,-1.43543,0.315559
1.43333,0.498738,-0.151551,-0.346326,0.330902,-1.51365,1.18275,0.524844,-0.142379,-0.381254,0.99359,-1.47376,0.461529
1.46667,0.513478,-0.214148,-0.302122,0.166362,-1.45395,1.28759,0.538949,-0.201183,-0.338623,0.887143,-1.52795,0.61407
1.5,0.512648,-0.261752,-0.250755,2.92363e-16,-1.37832,1.37832,0.54464,-0.256234,-0.289346,0.753448,-1.55101,0.775345
1.53333,0.493993,-0.29417,-0.205377,-0.166362,-1.28759,1.45395,0.537372,-0.302051,-0.238657,0.57216,-1.51807,0.914429
1.56667,0.494309,-0.344995,-0.16379,-0.330902,-1.18275,1.51365,0.529886,-0.34938,-0.189205,0.423479,-1.49974,1.02064
1.6,0.479458,-0.371233,-0.11452,-0.491816,-1.06495,1.55677,0.516414,-0.387344,-0.137803,0.269033,-1.43241,1.11794
1.63333,0.457867,-0.409757,-0.0465026,-0.647341,-0.935489,1.58283,0.496524,-0.424263,-0.0774422,0.107478,-1.37179,1.24724
1.66667,0.448368,-0.432264,-0.00396345,-0.795775,-0.795775,1.59155,0.477993,-0.453865,-0.022231,-0.0163261,-1.28152,1.32358
1.7,0.400812,-0.467851,0.0538359,-0.935489,-0.647341,1.58283,0.444692,-0.484302,0.0355435,-0.199707,-1.21277,1.40003
1.73333,0.384236,-0.484934,0.0959947,-1.06495,-0.491816,1.55677,0.41504,-0.507719,0.0881025,-0.328441,-1.11755,1.43301
1.76667,0.332243,-0.487988,0.150756,-1.18275,-0.330902,1.51365,0.373382,-0.520615,0.142232,-0.500366,-0.9812,1.46863
1.8,0.293231,-0.503982,0.200524,-1.28759,-0.166362,1.45395,0.329574,-0.532233,0.195177,-0.652248,-0.863136,1.49097
1.83333,0.253109,-0.497507,0.256342,-1.37832,-4.87271e-16,1.37832,0.284442,-0.533864,0.249777,-0.783193,-0.711197,1.51841
1.86667,0.211205,-0.505126,0.298833,-1.45395,0.166362,1.28759,0.238191,-0.535154,0.299725,-0.89597,-0.585704,1.51468
1.9,0.147613,-0.499085,0.337085,-1.51365,0.330902,1.18275,0.182376,-0.530916,0.344603,-1.04125,-0.452678,1.48327
1.93333,0.113498,-0.475628,0.371647,-1.55677,0.491816,1.06495,0.133063,-0.515925,0.384472,-1.12301,-0.284275,1.42967
1.96667,0.0455517,-0.462941,0.407423,-1.58283,0.647341,0.935489,0.0742248,-0.498704,0.421568,-1.24284,-0.134818,1.37056
2,0.0043694,-0.442977,0.441202,-1.59155,0.795775,0.795775,0.0206464,-0.477458,0.456119,-1.31086,0.009281,1.30822
2.03333,-0.0467173,-0.413603,0.460522,-1.58283,0.935489,0.647341,-0.0331653,-0.449988,0.482969,-1.36749,0.161339,1.21441
2.06667,-0.108451,-0.370166,0.485197,-1.55677,1.06495,0.491816,-0.0914439,-0.412791,0.507099,-1.43857,0.339472,1.12288
2.1,-0.158961,-0.339816,0.491608,-1.51365,1.18275,0.330902,-0.147759,-0.375121,0.521909,-1.48539,0.487015,0.996244
2.13333,-0.197844,-0.298003,0.508946,-1.45395,1.28759,0.166362,-0.197516,-0.332864,0.535383,-1.48675,0.632701,0.885764
2.16667,-0.261142,-0.255431,0.51401,-1.37832,1.37832,3.50934e-15,-0.253087,-0.287692,0.543153,-1.52041,0.767521,0.763971
2.2,-0.300558,-0.197713,0.504707,-1.28759,1.45395,-0.166362,-0.302396,-0.234584,0.541301,-1.51274,0.921608,0.611038
2.23333,-0.346183,-0.162552,0.504514,-1.18275,1.51365,-0.330902,-0.349983,-0.186206,0.53724,-1.49685,1.02046,0.474273
2.26667,-0.366679,-0.110528,0.472141,-1.06495,1.55677,-0.491816,-0.385688,-0.134383,0.518467,-1.41741,1.12015,0.280673
2.3,-0.41208,-0.047361,0.46234,-0.935489,1.58283,-0.647341,-0.424022,-0.0758088,0.499834,-1.36751,1.23904,0.123982
2.33333,-0.437931,-0.00963098,0.446737,-0.795775,1.59155,-0.795775,-0.456067,-0.0238747,0.479506,-1.29172,1.29857,-0.0129606
2.36667,-0.468918,0.0606747,0.408677,-0.647341,1.58283,-0.935489,-0.486213,0.0370479,0.448985,-1.21944,1.3973,-0.181409
2.4,-0.488854,0.100119,0.382475,-0.491816,1.55677,-1.06495,-0.510616,0.0906749,0.417094,-1.12849,1.43677,-0.326089
2.43333,-0.496075,0.148346,0.341877,-0.330902,1.51365,-1.18275,-0.525939,0.142747,0.378721,-1.00369,1.46017,-0.480065
2.46667,-0.501169,0.207743,0.302309,-0.166362,1.45395,-1.28759,-0.534508,0.198396,0.336898,-0.864359,1.49923,-0.624619
2.5,-0.509513,0.256911,0.257449,-4.87271e-16,1.37832,-1.37832,-0.540322,0.252021,0.291019,-0.735606,1.51967,-0.764907
2.53333,-0.510584,0.29045,0.205046,0.166362,1.28759,-1.45395,-0.541651,0.297451,0.239673,-0.605774,1.49041,-0.909616
2.56667,-0.504694,0.344933,0.149901,0.330902,1.18275,-1.51365,-0.537417,0.346192,0.183942,-0.469024,1.48515,-1.05188
2.6,-0.475187,0.372981,0.108445,0.491816,1.06495,-1.55677,-0.51977,0.385987,0.131597,-0.282706,1.4308,-1.14863
2.63333,-0.464404,0.415491,0.0452186,0.647341,0.935489,-1.58283,-0.501501,0.425906,0.0727541,-0.127673,1.38727,-1.2637
2.66667,-0.428863,0.432365,0.00525863,0.795775,0.795775,-1.59155,-0.472891,0.455144,0.0197861,0.0563227,1.29207,-1.32441
2.7,-0.414534,0.45769,-0.06094,0.935489,0.647341,-1.58283,-0.446873,0.480893,-0.0399957,0.191468,1.19511,-1.41194
2.73333,-0.379595,0.477443,-0.0959565,1.06495,0.491816,-1.55677,-0.414462,0.502228,-0.0908628,0.337183,1.09153,-1.43323
2.76667,-0.34471,0.497654,-0.162019,1.18275,0.330902,-1.51365,-0.378213,0.521106,-0.148631,0.477196,0.993522,-1.48918
2.8,-0.303977,0.501862,-0.207789,1.28759,0.166362,-1.45395,-0.337375,0.531843,-0.202339,0.61677,0.868229,-1.51196
2.83333,-0.2599,0.502587,-0.250574,1.37832,6.8218e-16,-1.37832,-0.292489,0.535909,-0.251813,0.752964,0.728972,-1.50678
2.86667,-0.213024,0.509216,-0.290096,1.45395,-0.166362,-1.28759,-0.244153,0.538413,-0.296934,0.883055,0.606953,-1.4782
2.9,-0.147365,0.485897,-0.337329,1.51365,-0.330902,-1.18275,-0.18593,0.527551,-0.342412,1.04422,0.432878,-1.45696
2.93333,-0.0999922,0.478367,-0.3839,1.55677,-0.491816,-1.06495,-0.129268,0.51479,-0.387953,1.16657,0.280661,-1.44002
2.96667,-0.0571155,0.46975,-0.415238,1.58283,-0.647341,-0.935489,-0.0761636,0.500896,-0.427099,1.24617,0.150499,-1.39045
3,3.94877e-05,0.428766,-0.448483,1.59155,-0.795775,-0.795775,-0.0198084,0.472938,-0.462777,1.32912,-0.0341021,-1.33071
3.03333,0.0486865,0.401827,-0.465112,1.58283,-0.935489,-0.647341,0.0348353,0.441893,-0.489173,1.387,-0.201541,-1.23016
3.06667,0.102436,0.380881,-0.490502,1.55677,-1.06495,-0.491816,0.0902017,0.411968,-0.51322,1.43813,-0.331458,-1.13522
3.1,0.156827,0.337465,-0.491739,1.51365,-1.18275,-0.330902,0.146127,0.373798,-0.525705,1.48285,-0.483296,-0.993275
3.13333,0.201134,0.295806,-0.508541,1.45395,-1.28759,-0.166362,0.19794,0.331238,-0.537327,1.4962,-0.631371,-0.872977
3.16667,0.261988,0.252753,-0.504388,1.37832,-1.37832,-3.70425e-15,0.253872,0.285642,-0.539909,1.53012,-0.768815,-0.724529
3.2,0.297544,0.206346,-0.50893,1.28759,-1.45395,0.166362,0.301742,0.237075,-0.540496,1.51257,-0.897237,-0.59261
3.23333,0.335646,0.156597,-0.493614,1.18275,-1.51365,0.330902,0.345102,0.185553,-0.531768,1.47305,-1.01824,-0.43316
3.26667,0.372685,0.114589,-0.487163,1.06495,-1.55677,0.491816,0.385006,0.135787,-0.52097,1.42156,-1.10683,-0.291875
3.3,0.414791,0.0494054,-0.466443,0.935489,-1.58283,0.647341,0.424869,0.0777407,-0.503235,1.37945,-1.22525,-0.138118
